time,EVT_TYPE,sym,tradePrice
07:10.0,MarketPrice,GCQ8,1250.1
07:10.0,MarketPrice,GCQ8,1250.1
07:11.5,MarketPrice,GCQ8,1250
07:11.5,MarketPrice,SIU8,16.06
07:11.5,MarketPrice,SIU8,16.06
07:11.5,MarketPrice,SIU8,16.06
07:11.5,MarketPrice,SIU8,16.06
07:11.5,MarketPrice,SIU8,16.06
07:11.5,MarketPrice,SIU8,16.06
07:11.5,MarketPrice,SIU8,16.06
07:11.7,MarketPrice,PLV8,853.5
07:11.7,MarketPrice,PLV8,853.5
07:12.8,MarketPrice,GCQ8,1250
07:12.8,MarketPrice,SIU8,16.06
07:12.8,MarketPrice,SIU8,16.06
07:12.8,MarketPrice,SIU8,16.06
07:12.8,MarketPrice,SIU8,16.06
07:12.8,MarketPrice,SIU8,16.06
07:12.8,MarketPrice,PLV8,853.6
07:12.9,MarketPrice,SIU8,16.06
07:12.9,MarketPrice,SIU8,16.06
07:13.0,MarketPrice,SIU8,16.06
07:13.0,MarketPrice,GCQ8,1250.1
07:13.0,MarketPrice,GCQ8,1250.1
07:13.0,MarketPrice,GCQ8,1250.1
07:13.0,MarketPrice,GCQ8,1250.1
07:13.0,MarketPrice,GCQ8,1250.1
07:14.5,MarketPrice,GCQ8,1250
07:15.2,MarketPrice,GCQ8,1250.1
07:15.2,MarketPrice,GCQ8,1250.1
07:15.2,MarketPrice,GCQ8,1250.1
07:15.2,MarketPrice,GCQ8,1250.1
07:15.8,MarketPrice,GCQ8,1250
07:15.8,MarketPrice,GCQ8,1250
07:15.8,MarketPrice,GCQ8,1250
07:16.2,MarketPrice,GCQ8,1250
07:16.2,MarketPrice,GCQ8,1250
07:16.2,MarketPrice,GCQ8,1250
07:16.2,MarketPrice,GCQ8,1250
07:21.1,MarketPrice,GCQ8,1250.1
07:25.8,MarketPrice,GCQ8,1250.1
07:26.0,MarketPrice,GCQ8,1250.1
07:27.4,MarketPrice,GCQ8,1250.1
07:35.2,MarketPrice,SIU8,16.06
07:38.5,MarketPrice,GCQ8,1250.1
07:43.0,MarketPrice,GCQ8,1250.1
07:44.1,MarketPrice,GCQ8,1250.1
07:46.3,MarketPrice,GCQ8,1250.1
07:51.4,MarketPrice,GCQ8,1250.1
07:52.2,MarketPrice,PAU8,941
07:53.0,MarketPrice,PAU8,941
07:57.8,MarketPrice,GCQ8,1250.1
07:59.0,MarketPrice,GCQ8,1250.1
07:59.1,MarketPrice,GCQ8,1250.1
07:59.1,MarketPrice,GCQ8,1250.1
08:00.6,MarketPrice,GCQ8,1250.1
08:02.5,MarketPrice,GCQ8,1250.1
08:07.9,MarketPrice,SIU8,16.06
08:13.9,MarketPrice,GCQ8,1250.2
08:20.3,MarketPrice,SIU8,16.06
08:21.8,MarketPrice,GCQ8,1250.1
08:21.8,MarketPrice,GCQ8,1250.1
08:21.8,MarketPrice,GCQ8,1250.1
08:21.8,MarketPrice,GCQ8,1250.1
08:21.8,MarketPrice,GCQ8,1250.1
08:21.8,MarketPrice,PLV8,853.4
08:25.4,MarketPrice,SIU8,16.06
08:25.4,MarketPrice,SIU8,16.06
08:25.4,MarketPrice,SIN8,15.975
08:25.4,MarketPrice,GCQ8,1250.1
08:25.4,MarketPrice,GCQ8,1250.1
08:25.4,MarketPrice,GCQ8,1250.1
08:25.4,MarketPrice,GCQ8,1250.1
08:25.4,MarketPrice,GCQ8,1250.1
08:27.2,MarketPrice,GCQ8,1250
08:27.2,MarketPrice,GCQ8,1250
08:27.2,MarketPrice,GCQ8,1250
08:27.2,MarketPrice,GCQ8,1250
08:27.2,MarketPrice,GCQ8,1250
08:27.2,MarketPrice,GCQ8,1250
08:30.3,MarketPrice,GCQ8,1250
08:35.2,MarketPrice,GCQ8,1250
08:36.7,MarketPrice,GCQ8,1250
08:37.9,MarketPrice,GCQ8,1250.1
08:38.0,MarketPrice,GCQ8,1250.1
08:38.0,MarketPrice,GCQ8,1250.1
08:38.0,MarketPrice,SIU8,16.06
08:38.0,MarketPrice,GCQ8,1250.1
08:38.0,MarketPrice,GCQ8,1250.1
08:38.0,MarketPrice,GCQ8,1250.1
08:40.3,MarketPrice,GCQ8,1250.1
08:41.4,MarketPrice,GCQ8,1250.1
08:41.5,MarketPrice,GCQ8,1250.1
08:44.3,MarketPrice,GCQ8,1250.1
08:48.3,MarketPrice,GCQ8,1250.1
08:48.9,MarketPrice,SIU8,16.06
08:48.9,MarketPrice,SIU8,16.06
08:48.9,MarketPrice,SIU8,16.06
08:48.9,MarketPrice,SIU8,16.06
08:50.0,MarketPrice,GCQ8,1250
08:59.9,MarketPrice,SIU8,16.06
08:59.9,MarketPrice,GCQ8,1250.1
08:59.9,MarketPrice,GCQ8,1250.1
08:59.9,MarketPrice,GCQ8,1250.1
08:59.9,MarketPrice,GCQ8,1250.1
09:13.1,MarketPrice,GCQ8,1250.2
09:13.1,MarketPrice,GCQ8,1250.2
09:13.1,MarketPrice,GCQ8,1250.2
09:15.6,MarketPrice,GCQ8,1250.2
09:15.8,MarketPrice,GCQ8,1250.2
09:16.1,MarketPrice,GCQ8,1250.2
09:19.1,MarketPrice,SIU8,16.065
09:24.4,MarketPrice,GCQ8,1250.2
09:25.0,MarketPrice,GCQ8,1250.2
09:37.4,MarketPrice,GCQ8,1250.2
09:44.0,MarketPrice,GCQ8,1250.2
09:44.4,MarketPrice,SIU8,16.06
09:44.4,MarketPrice,SIU8,16.06
09:44.4,MarketPrice,SIU8,16.06
09:47.5,MarketPrice,GCQ8,1250.1
09:51.3,MarketPrice,GCQ8,1250.2
09:54.7,MarketPrice,GCQ8,1250.2
09:57.2,MarketPrice,GCQ8,1250.2
10:00.6,MarketPrice,GCQ8,1250.1
10:00.6,MarketPrice,GCQ8,1250.1
10:00.6,MarketPrice,GCQ8,1250.1
10:00.6,MarketPrice,PAU8,940.9
10:00.6,MarketPrice,GCQ8,1250.1
10:00.6,MarketPrice,GCQ8,1250.1
10:00.6,MarketPrice,GCQ8,1250.1
10:00.7,MarketPrice,GCQ8,1250.1
10:00.7,MarketPrice,GCQ8,1250.1
10:00.7,MarketPrice,GCQ8,1250.1
10:00.7,MarketPrice,GCQ8,1250.1
10:00.7,MarketPrice,GCQ8,1250.1
10:00.7,MarketPrice,GCQ8,1250.1
10:00.7,MarketPrice,GCQ8,1250.1
10:00.7,MarketPrice,GCQ8,1250.1
10:00.7,MarketPrice,GCQ8,1250.1
